date,active_energy,active_energy_goal,exercise_minutes,exercise_goal,stand_hours,stand_goal
2025-08-22,648.086,660,59,30,11,12
2025-08-23,786.325,660,117,30,11,12
2025-08-24,6.875,660,0,30,0,12
2025-08-25,0,660,0,30,0,12
2025-08-26,520.784,660,64,30,12,12
2025-08-27,20.6021,660,4,30,0,12
2025-08-28,297.768,660,13,30,14,12
2025-08-29,40.2736,660,1,30,1,12
2025-09-01,0,660,0,30,0,12
2025-09-02,704.913,660,124,30,8,12
2025-09-03,436.57,660,61,30,11,12
2025-09-04,485.729,660,56,30,11,12
2025-09-05,958.739,660,147,30,13,12
2025-09-06,764.407,660,104,30,12,12
2025-09-07,241.188,660,5,30,11,12
2025-09-08,650.079,660,115,30,13,12
2025-09-09,967.114,660,130,30,13,12
2025-09-10,772.797,660,97,30,12,12
2025-09-11,703.447,660,95,30,12,12
2025-09-12,11.3927,660,0,30,1,12
2025-09-13,803.536,660,96,30,10,12
2025-09-15,0,660,0,30,0,12
2025-09-16,778.727,660,108,30,14,12
2025-09-17,853.921,660,134,30,12,12
2025-09-18,988.722,660,114,30,12,12
2025-09-19,171.062,660,6,30,8,12
2025-09-20,0,660,0,30,0,12
2025-09-21,8.57563,660,0,30,0,12
2025-09-22,599.982,660,101,30,11,12
2025-09-23,1015.5,660,125,30,13,12
2025-09-24,641.556,660,91,30,12,12
2025-09-25,969.938,660,142,30,11,12
2025-09-26,252.507,660,12,30,8,12
2025-09-27,690.424,660,62,30,5,12
2025-09-28,6.69275,660,0,30,1,12
2025-09-29,849.304,660,99,30,16,12
2025-09-30,785.937,660,98,30,11,12
2025-10-01,922.005,660,118,30,11,12
2025-10-02,929.326,660,116,30,13,12
2025-10-03,1189.49,660,153,30,12,12
2025-10-04,911.092,660,68,30,11,12
2025-10-05,4.77454,660,0,30,0,12
2025-10-06,592.781,660,59,30,11,12
2025-10-07,686.634,660,60,30,4,12
2025-10-08,2.315,660,0,30,0,12
2025-10-09,443.951,660,65,30,5,12
2025-10-10,135.98,660,8,30,5,12
2025-10-11,129.726,660,5,30,7,12
2025-10-12,92.179,660,0,30,5,12
2025-10-13,895.6,660,123,30,12,12
2025-10-14,749.588,660,113,30,11,12
2025-10-15,451.043,660,53,30,7,12
2025-10-16,7.497,660,0,30,0,12
2025-10-17,683.132,660,89,30,13,12
2025-10-18,31.2495,660,0,30,1,12
2025-10-19,78.99,660,2,30,3,12
2025-10-20,3.73911,660,0,30,0,12
2025-10-21,613.603,660,77,30,15,12
2025-10-22,447.945,660,75,30,12,12
2025-10-23,728.564,660,88,30,16,12
2025-10-24,237.209,660,8,30,10,12
2025-10-25,872.882,660,95,30,12,12
2025-10-26,213.072,660,8,30,7,12
2025-10-27,228.502,660,10,30,7,12
2025-10-28,679.543,660,80,30,15,12
2025-10-29,586.615,660,77,30,12,12
2025-10-30,627.494,660,99,30,11,12
2025-10-31,10.664,660,0,30,1,12
2025-11-01,8.851,660,0,30,1,12
2025-11-02,649.199,660,91,30,14,12
2025-11-03,608.133,660,53,30,14,12
2025-11-04,531.769,660,94,30,11,12
2025-11-05,1004.08,660,153,30,9,12
2025-11-06,758.225,660,110,30,11,12
2025-11-07,665.314,660,70,30,14,12
2025-11-08,799.634,660,64,30,8,12
2025-11-09,121.658,660,2,30,4,12
2025-11-10,286.739,660,13,30,11,12
2025-11-11,21.606,660,1,30,3,12
2025-11-12,430.031,660,39,30,9,12
2025-11-13,985.7,660,122,30,12,12
2025-11-14,527.225,660,62,30,9,12
2025-11-15,49.4345,660,2,30,1,12
2025-11-16,351.114,660,17,30,13,12
2025-11-17,648.654,660,98,30,14,12
2025-11-18,690.028,660,88,30,13,12
2025-11-19,663.697,660,67,30,11,12
2025-11-20,590.657,660,70,30,13,12
2025-11-21,533.293,660,93,30,10,12
2025-11-22,80.8465,660,0,30,4,12
2025-11-23,154.357,660,3,30,8,12
2025-11-24,427.856,660,29,30,13,12
2025-11-25,458.192,660,74,30,12,12
2025-11-26,663.012,660,71,30,11,12
2025-11-27,172.863,660,2,30,7,12
2025-11-28,612.05,660,101,30,13,12
2025-11-29,681.342,660,96,30,12,12
2025-11-30,341.427,660,12,30,12,12
2025-12-01,420.582,660,23,30,13,12
2025-12-02,362.695,660,29,30,13,12
2025-12-03,362.384,660,34,30,14,12
2025-12-04,250.713,660,20,30,11,12
2025-12-06,0,660,0,30,0,12
2025-12-07,311.864,660,18,30,12,12
2025-12-08,91.462,660,5,30,3,12
2025-12-09,352.69,660,35,30,10,12
2025-12-10,15.284,660,0,30,0,12
2025-12-11,553.859,660,93,30,13,12
2025-12-12,586.336,660,41,30,11,12
2025-12-13,739.097,660,135,30,11,12
2025-12-14,1276.56,660,179,30,13,12
2025-12-15,571.645,660,89,30,9,12
2025-12-16,889.624,660,183,30,9,12
2025-12-17,578.409,660,58,30,10,12
2025-12-18,263.587,660,6,30,12,12
2025-12-19,598.038,660,65,30,7,12
2025-12-20,160.319,660,9,30,7,12
2025-12-21,107.45,660,5,30,6,12
2025-12-22,223.479,660,5,30,11,12
2025-12-23,378.508,660,41,30,13,12
2025-12-24,552.823,660,62,30,8,12
2025-12-25,13.65,660,0,30,1,12
2025-12-26,0,660,0,30,0,12
2025-12-27,22.295,660,0,30,2,12
2025-12-28,263.544,660,4,30,12,12
2025-12-29,797.719,660,91,30,15,12
2025-12-30,60.3705,660,2,30,4,12
2025-12-31,0,660,0,30,0,12
2026-01-01,134.668,660,2,30,8,12
2026-01-02,841.684,660,91,30,10,12
2026-01-03,22.0308,660,0,30,2,12
2026-01-04,580.315,660,49,30,11,12
2026-01-05,696.516,660,66,30,11,12
2026-01-06,670.594,660,68,30,10,12
2026-01-07,491.343,660,55,30,11,12
2026-01-08,769.042,660,84,30,10,12
2026-01-09,290.847,660,13,30,13,12
2026-01-10,210.157,660,4,30,10,12
2026-01-11,249.992,660,7,30,13,12
2026-01-12,140.976,660,5,30,9,12
2026-01-13,252.056,660,3,30,10,12
2026-01-14,552.778,660,55,30,9,12
2026-01-15,172.742,660,3,30,7,12
2026-01-16,1606.62,660,195,30,19,12
2026-01-17,26.6811,660,1,30,2,12
2026-01-18,508.702,660,54,30,11,12
2026-01-19,639.97,660,68,30,12,12
2026-01-20,537.016,660,67,30,9,12
2026-01-21,195.65,660,3,30,11,12
2026-01-22,635.248,660,61,30,14,12
2026-01-23,703.444,660,95,30,10,12
2026-01-24,321.018,660,10,30,13,12
2026-01-25,238.041,660,3,30,8,12
2026-01-26,348.752,660,20,30,11,12
2026-01-27,512.63,660,75,30,8,12
2026-01-28,219.77,660,2,30,8,12
2026-01-29,554.731,660,59,30,9,12
2026-01-30,271.716,660,5,30,8,12
2026-01-31,15.0018,660,0,30,2,12
2026-02-01,252.335,660,4,30,10,12
2026-02-02,19.4228,660,0,30,1,12
2026-02-03,261.134,660,9,30,10,12
2026-02-04,197.342,660,3,30,7,12
2026-02-05,194.597,660,5,30,8,12
2026-02-06,14.548,660,0,30,1,12
